Quốc gia,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Hoa Kỳ,2,307,0.65%,28.64
Việt Nam,2,20,10%,18
Nam Phi,1,8,12.5%,29.62
Đài Loan,1,3,33.33%,5.67
Ấn Độ,0,102,0%,42.41
Úc,0,42,0%,46.93
Vương quốc Anh,0,34,0%,22.35
Canada,0,31,0%,31.48
Pakistan,0,30,0%,42.03
Indonesia,0,29,0%,73.41
Philippin,0,18,0%,60.22
Hà Lan,0,15,0%,22.13
Brazil,0,15,0%,93.07
Đức,0,14,0%,14.14
Nêpan,0,11,0%,87.91
Malaysia,0,10,0%,46.6
Thuỵ Sĩ,0,9,0%,24.22
Nigeria,0,9,0%,32.67
Thuỵ Điển,0,9,0%,45.89
Nhật Bản,0,8,0%,10.88
Thái Lan,0,8,0%,37.75
Bangladesh,0,8,0%,50.75
Hàn Quốc,0,7,0%,7.86
Tây Ban Nha,0,7,0%,48.57
Singapore,0,6,0%,19.33
Các Tiểu Vương quốc Ả Rập Thống nhất,0,6,0%,19.83
Phần Lan,0,6,0%,31.33
Áo,0,6,0%,33.83
Ma-rốc,0,6,0%,57.83
Ý,0,6,0%,71.5
Czechia,0,5,0%,8
Thổ Nhĩ Kỳ,0,5,0%,24.2
I-rắc,0,5,0%,25
Nga,0,5,0%,26.2
Ba Lan,0,4,0%,9
Ai Cập,0,4,0%,19
Qatar,0,4,0%,23.5
Ukraine,0,4,0%,27.75
Lithuania,0,4,0%,41
Ả-rập Xê-út,0,4,0%,47
Argentina,0,4,0%,107
Na Uy,0,3,0%,38.33
Bỉ,0,3,0%,52.33
Chile,0,3,0%,57
Israel,0,3,0%,76.33
Ireland,0,3,0%,77.33
Colombia,0,2,0%,4
Kenya,0,2,0%,6
New Zealand,0,2,0%,7
Đảo Síp,0,2,0%,7.5
Tiếng Bồ Đào Nha,0,2,0%,8
Serbia,0,2,0%,8.5
Mexico,0,2,0%,20.5
Oman,0,2,0%,26.5
Hy Lạp,0,2,0%,48
Peru,0,2,0%,97
Costa Rica,0,1,0%,1
Đan Mạch,0,1,0%,1
Sint Maarten,0,1,0%,1
Mauritius,0,1,0%,3
Bahrain,0,1,0%,5
Ethiopia,0,1,0%,5
Turkmenistan,0,1,0%,5
Croatia,0,1,0%,6
Malta,0,1,0%,6
Namibia,0,1,0%,7
Pháp,0,1,0%,8
Puerto Rico,0,1,0%,8
Syria,0,1,0%,8
Algeria,0,1,0%,9
Hungary,0,1,0%,9
Cameroon,0,1,0%,10
Hong Kong,0,1,0%,10
Myanmar (Burma),0,1,0%,12
Kosovo,0,1,0%,12
Albania,0,1,0%,19
Congo - Brazzaville,0,1,0%,29
Senegal,0,1,0%,33
Uruguay,0,1,0%,33
Bolivia,0,1,0%,43
Uzbekistan,0,1,0%,46
Uganda,0,1,0%,47
Palestine,0,1,0%,50
Tunisia,0,1,0%,81
Rumani,0,1,0%,87
Campuchia,0,1,0%,90
Slovakia,0,1,0%,93
Jordan,0,1,0%,111
Ma Cao,0,1,0%,131